date,ticker,marketCap,size_category,Total Cash From Operating Activities,Net Income,Depreciation And Amortization,Change In Working Capital,Total Revenue,Gross Profit,Operating Income,Total Assets,Accounts Receivable,Inventory,Accounts Payable
2024-12-31,ALL,56063393792,Large-Cap,,1928000000.0,151000000.0,-485000000.0,16342000000.0,,,111617000000.0,19538000000.0,,
2025-03-31,ALL,56063393792,Large-Cap,,595000000.0,132000000.0,809000000.0,16263000000.0,,,115161000000.0,21144000000.0,,
2025-06-30,ALL,56063393792,Large-Cap,,2109000000.0,127000000.0,393000000.0,16546000000.0,,,115894000000.0,20916000000.0,,
2023-12-31,ALLE,15023998976,Large-Cap,,,,,,,,,,,
2024-03-31,ALLE,15023998976,Large-Cap,,,,,,,,,,,
2024-06-30,ALLE,15023998976,Large-Cap,,155400000.0,30700000.0,-13100000.0,965600000.0,428300000.0,209000000.0,4779100000.0,474100000.0,444600000.0,253600000.0
2024-09-30,ALLE,15023998976,Large-Cap,,174200000.0,29800000.0,27900000.0,967100000.0,432100000.0,215000000.0,4973700000.0,458800000.0,449900000.0,266700000.0
2024-12-31,ALLE,15023998976,Large-Cap,,144100000.0,29700000.0,62600000.0,945600000.0,416700000.0,184600000.0,4487800000.0,418900000.0,423000000.0,258000000.0
2025-03-31,ALLE,15023998976,Large-Cap,,148200000.0,30000000.0,-73700000.0,941900000.0,422500000.0,196400000.0,4564100000.0,467200000.0,443600000.0,249300000.0
2025-06-30,ALLE,15023998976,Large-Cap,,159700000.0,31900000.0,18100000.0,1022000000.0,466500000.0,219700000.0,4914800000.0,477400000.0,479500000.0,273000000.0
2024-01-31,AMAT,162451324928,Large-Cap,,,,,,,,,,,
2024-04-30,AMAT,162451324928,Large-Cap,,,,,,,,,,,
2024-07-31,AMAT,162451324928,Large-Cap,,1705000000.0,95000000.0,584000000.0,6778000000.0,3205000000.0,1942000000.0,33647000000.0,4970000000.0,5568000000.0,1470000000.0
2024-10-31,AMAT,162451324928,Large-Cap,,1731000000.0,110000000.0,595000000.0,7045000000.0,3335000000.0,2046000000.0,34409000000.0,5234000000.0,5421000000.0,1570000000.0
2025-01-31,AMAT,162451324928,Large-Cap,,1185000000.0,105000000.0,-1323000000.0,7166000000.0,3496000000.0,2175000000.0,33338000000.0,5998000000.0,5501000000.0,1737000000.0
2025-04-30,AMAT,162451324928,Large-Cap,,2137000000.0,103000000.0,-723000000.0,7100000000.0,3485000000.0,2169000000.0,33632000000.0,6187000000.0,5656000000.0,1803000000.0
